ImageName,AvgH,AvgS,AvgV,AvgR,AvgG,AvgB
Photo_20250608_112822.jpg,0.637953669188899,0.895157744102822,0.727052969413968,18.8135335440815,50.8921671935371,185.398454513523
Photo_20250608_113033.jpg,0.642273701117455,0.912163758666221,0.729233262395228,16.0881629785739,44.639272918862,185.954481910783
Photo_20250608_113242.jpg,0.637407133917768,0.907923284309985,0.71780444499542,16.0887636108184,48.6474780470671,183.03966631542
Photo_20250608_113440.jpg,0.635270091695007,0.911526499154636,0.719464961397274,15.4901299613628,50.108387776607,183.463452757288
Photo_20250608_113819.jpg,0.637858823807888,0.910463047471586,0.720755773190906,15.850832455216,48.2813031260976,183.79268001405
Photo_20250608_114029.jpg,0.635056956332401,0.906443385705793,0.712564763734788,16.1759992975061,50.521942395504,181.703986652617
Photo_20250608_114240.jpg,0.637715301041868,0.887735841849718,0.695394601816841,18.9431050228311,49.814583772392,177.324913944503
Photo_20250608_114450.jpg,0.639621090375561,0.896283475208628,0.694959592829053,17.5433860203723,46.9778011942396,177.214696171408
Photo_20250608_114701.jpg,0.637657705641914,0.903405657497544,0.707709897587415,16.6793291183702,48.3932911837021,180.465893923428
Photo_20250608_120427.jpg,0.639089010398489,0.89230187134997,0.722277361102502,19.1880857042501,49.9740850017562,184.180593607306
Photo_20250608_120642.jpg,0.635961679289777,0.910203769152363,0.726473577277767,15.9836564805058,50.1047207586934,185.250098349139
Photo_20250608_120850.jpg,0.633298657693054,0.913097199700891,0.712509335592333,14.8973375482965,50.9815138742536,181.689838426414
Photo_20250608_121100.jpg,0.638600706132503,0.913104240144142,0.718592519129183,15.3905128205128,46.9396768528275,183.240821917808
Photo_20250608_121730.jpg,0.637085324853571,0.902848272990127,0.711740697121841,16.8447629083246,49.2110467158412,181.493793466807
Photo_20250608_121940.jpg,0.636751393011036,0.9084265059562,0.708729904887842,15.7963716192483,48.4674956094134,180.725419740077
Photo_20250608_122330.jpg,0.637355226158121,0.907737706282758,0.747205203964269,17.1789673340358,50.9835370565508,190.537327010889
Photo_20250608_122539.jpg,0.637755773925237,0.90330663443599,0.70528950322665,16.6691078328065,48.265349490692,179.848071654373
Photo_20250608_122749.jpg,0.636736982144074,0.910814064436131,0.713720765580556,15.448837372673,48.4720056199508,181.998731998595
Photo_20250608_123239.jpg,0.636732956639096,0.896331662667153,0.693740752219398,17.2837618545838,49.1622901299614,176.903600280998
